,CUSTOMER_ID,COLLEGE,DATA,INCOME,OVERCHARGE,LEFTOVER,HOUSE,LESSTHAN600k,CHILD,JOB_CLASS,REVENUE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,TIME_CLIENT,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURNED,CHURN_PROBABILITY
0,C100002,one,80.0,45452.5,75,65,342741.0,True,3,1,149.0,300,3,2.2,2,unsat,little,considering,1,0.47004503
1,C100003,zero,536.8421052631579,40703.5,90,0,215904.0,True,1,1,176.0,384,4,2.4,13,unsat,very_high,actively_looking_into_it,1,0.484531
2,C100004,zero,256.57894736842104,35563.0,52,0,341828.0,True,2,3,124.0,371,5,2.3,12,very_sat,avg,considering,1,0.31207305
3,C100005,zero,466.6666666666666,66072.5,0,8,257222.0,True,3,1,279.0,324,1,2.8,5,very_sat,very_little,actively_looking_into_it,1,0.11651492
4,C100007,zero,150.0,21901.5,0,0,800811.0,False,1,3,128.0,164,1,1.5,12,avg,very_high,perhaps,1,0.047329664
5,C100009,zero,540.0,14447.5,0,0,715285.0,False,3,4,217.0,159,0,1.8,9,sat,high,considering,1,0.12526745
6,C100019,one,219.2307692307692,11289.0,0,16,215378.0,True,2,3,106.0,163,1,2.9,4,very_sat,high,considering,1,0.13086116
7,C100032,one,105.26315789473682,34274.0,233,18,288131.0,True,3,1,173.0,245,12,1.8,6,unsat,little,considering,1,0.36061794
8,C100033,one,630.0,12003.5,0,0,227976.0,True,2,3,143.0,197,1,1.1,12,very_sat,very_little,actively_looking_into_it,0,0.5410437
9,C100034,zero,132.07547169811323,30533.5,37,34,310740.0,True,4,3,157.0,327,4,1.1,1,unsat,very_high,considering,1,0.45937032
10,C100035,one,1000.0,48029.0,77,12,513048.0,True,1,1,125.0,349,5,3.9,8,very_unsat,very_little,actively_looking_into_it,0,0.5387356
11,C100039,one,176.30853994490357,63669.0,229,76,863186.0,False,3,3,186.0,268,25,5.4,1,sat,little,considering,1,0.1973157
12,C100040,zero,425.92592592592587,39602.5,62,0,164844.0,True,1,4,178.0,312,4,2.3,12,very_sat,very_little,no,1,0.29378462
13,C100042,one,648.6486486486485,25308.0,85,33,,,1,1,118.0,150,4,3.0,1,very_unsat,little,actively_looking_into_it,1,0.48580128
14,C100046,zero,388.0126182965299,72137.0,217,0,218880.0,True,3,1,104.0,850,14,2.1,8,very_unsat,little,perhaps,0,0.7283195
15,C100047,zero,135.74660633484163,51091.0,142,20,206751.0,True,3,4,153.0,378,23,3.0,6,very_unsat,very_little,considering,1,0.39984912
16,C100049,zero,454.225352112676,32141.5,184,75,212123.0,True,0,3,94.0,211,24,3.3,2,unsat,high,considering,0,0.73349535
17,C100052,one,51.99306759098786,97055.0,194,86,290785.0,True,2,3,156.0,538,22,2.0,1,very_sat,little,no,1,0.43663377
18,C100054,one,732.824427480916,74571.5,162,0,957371.0,False,2,1,254.0,644,27,4.4,12,very_unsat,little,actively_looking_into_it,0,0.6686121
19,C100055,one,321.8390804597701,86085.0,232,19,172941.0,True,3,2,147.0,514,19,4.6,4,very_unsat,very_little,considering,0,0.689267
20,C100057,zero,516.6666666666667,35347.0,0,8,216966.0,True,2,3,161.0,364,0,2.1,4,very_unsat,little,considering,1,0.100191355
21,C100061,zero,1950.0,27317.0,0,0,254579.0,True,3,4,148.0,351,4,4.5,8,very_unsat,very_high,never_thought,1,0.39875197
22,C100062,one,1560.0,42451.5,0,34,908873.0,False,1,4,172.0,356,3,5.2,1,very_unsat,very_high,never_thought,1,0.13278717
23,C100066,zero,493.5732647814911,54350.0,39,25,559388.0,True,3,4,98.0,603,4,6.4,2,unsat,avg,actively_looking_into_it,1,0.41022825
24,C100069,one,473.6842105263158,70513.0,52,0,797779.0,False,2,1,113.0,590,3,2.4,14,very_sat,little,actively_looking_into_it,1,0.2766356
25,C100072,zero,456.52173913043487,54511.5,0,13,265872.0,True,2,4,167.0,494,0,3.5,4,sat,very_little,considering,1,0.08094764
26,C100076,one,182.60869565217396,18753.5,0,13,210151.0,True,3,4,148.0,737,1,1.4,4,very_unsat,very_high,actively_looking_into_it,1,0.11912793
27,C100085,one,305.70652173913044,55674.0,56,58,700949.0,False,3,4,197.0,484,5,6.5,1,very_unsat,very_high,considering,1,0.25013918
28,C100089,zero,95.45454545454544,10977.0,0,12,409798.0,True,2,3,143.0,231,1,1.7,4,very_sat,very_high,considering,1,0.09314376
29,C100095,one,258.99280575539564,28690.5,178,0,627939.0,False,3,3,182.0,180,20,2.4,2,very_unsat,little,no,1,0.14784354
30,C100096,zero,333.33333333333337,26706.5,80,0,586420.0,True,1,1,234.0,235,5,1.0,8,unsat,very_little,never_thought,1,0.26846987
31,C100100,one,553.8461538461538,33585.0,160,0,292934.0,True,3,3,148.0,211,27,2.8,10,unsat,little,actively_looking_into_it,0,0.80204666
32,C100101,one,689.9999999999999,20016.0,0,0,219014.0,True,2,1,180.0,146,0,2.3,11,very_unsat,little,considering,1,0.31246424
33,C100107,one,270.55702917771885,62065.0,67,21,882762.0,False,2,1,108.0,415,4,2.4,5,very_unsat,little,actively_looking_into_it,1,0.27982914
34,C100108,zero,491.9168591224018,58942.0,203,13,930345.0,False,3,3,147.0,261,28,6.1,5,very_sat,little,considering,1,0.18163395
35,C100113,one,62.63736263736264,61604.5,0,81,224686.0,True,4,2,153.0,813,0,0.9,2,very_unsat,little,actively_looking_into_it,1,0.42932552
36,C100115,zero,420.0,17653.5,0,11,988076.0,False,0,2,160.0,190,0,2.4,5,avg,very_little,no,1,0.07360721
37,C100116,zero,128.0487804878049,22216.0,0,72,438080.0,True,2,3,209.0,212,1,1.5,2,very_unsat,very_high,no,1,0.4717691
38,C100118,one,463.6363636363636,42982.0,230,0,204936.0,True,1,4,124.0,215,28,5.1,10,very_unsat,very_little,considering,0,0.7060442
39,C100124,zero,68.18181818181819,37809.0,0,12,550927.0,True,2,1,157.0,290,0,1.5,5,very_unsat,very_high,perhaps,1,0.07914662
40,C100134,one,156.0693641618497,42318.0,73,0,931209.0,False,2,3,117.0,317,4,1.9,14,avg,very_little,considering,1,0.059669435
41,C100135,one,77.0877944325482,63604.5,67,30,977836.0,False,4,4,180.0,511,3,1.2,1,very_unsat,little,considering,1,0.1687358
42,C100140,one,1080.0,14258.0,0,0,650380.0,False,3,1,197.0,200,0,1.6,13,avg,high,actively_looking_into_it,1,0.31925124
43,C100142,one,848.1012658227849,75958.5,67,7,233892.0,True,2,2,191.0,667,5,4.7,4,avg,avg,actively_looking_into_it,1,0.44065422
44,C100146,one,110.2514506769826,47860.5,227,19,845180.0,False,3,3,159.0,260,26,2.9,6,very_unsat,very_high,perhaps,1,0.0720911
45,C100158,one,158.6826347305389,59303.5,202,70,531482.0,True,3,4,231.0,365,10,6.3,2,very_sat,very_little,no,1,0.35853142
46,C100161,one,278.3882783882783,65340.0,179,54,370388.0,True,2,3,157.0,391,11,6.6,1,very_unsat,very_high,considering,0,0.6415273
47,C100162,one,990.0,49420.5,0,24,547981.0,True,1,4,141.0,351,0,2.3,4,very_unsat,little,considering,1,0.15771776
